doctor_id,doctor_name,department_id,branch_id,employment_type
1,Upma Yogi,4,1,Full-time
2,Netra Garde,1,2,Full-time
3,Yashawini Apte,5,5,Full-time
4,Raksha Modi,5,2,Visiting
5,Urmi Mahal,2,4,Visiting
6,Dalaja Bhatia,1,2,Visiting
7,Ojasvi Dube,3,3,Full-time
8,Faqid Sur,2,3,Full-time
9,Chatresh Swaminathan,1,4,Full-time
10,Girik Rana,3,3,Visiting
11,Yauvani Ahuja,1,4,Full-time
12,Devika Pingle,4,1,Visiting
13,Gavin Sachdev,6,5,Visiting
14,Kamala Dhawan,5,2,Full-time
15,Pranit Issac,1,2,Visiting
16,Gavin Kara,1,2,Full-time
17,Rishi Raju,4,3,Visiting
18,Frado Goel,6,3,Full-time
19,Nandini Mukherjee,3,3,Full-time
20,Tanveer Dayal,6,3,Full-time
21,Ganga Bora,5,2,Full-time
22,Baljiwan Chaudhry,2,4,Visiting
23,Falguni Srinivas,3,5,Full-time
24,Saumya Bail,6,3,Full-time
25,Falak Padmanabhan,2,1,Visiting
26,Upma Buch,4,3,Full-time
27,Eshana Jayaraman,2,5,Visiting
28,Laksh Prakash,2,4,Visiting
29,Arunima Tiwari,6,4,Full-time
30,Devansh Nanda,3,2,Full-time
31,Divya Edwin,6,5,Visiting
32,Gautam Ben,6,5,Visiting
33,Rohan Apte,5,4,Visiting
34,Reyansh Gill,2,2,Visiting
35,Siddharth Pau,1,1,Full-time
36,Kashvi Kashyap,2,2,Visiting
37,Anthony Jain,5,1,Visiting
38,Wishi De,4,5,Visiting
39,Finn Dyal,5,3,Full-time
40,Anusha Bhatti,6,1,Visiting
41,Anita Tiwari,6,3,Full-time
42,Radhika Suresh,3,4,Full-time
43,Azaan Rama,4,1,Visiting
44,Netra Basu,5,2,Full-time
45,Darpan Babu,6,3,Full-time
46,Eshana Mand,2,3,Full-time
47,Nitara Sood,5,5,Full-time
48,Kamya Chaudhuri,5,3,Visiting
49,Wakeeta More,1,1,Visiting
50,Dev Minhas,3,2,Full-time
51,Nachiket Chaudry,2,5,Full-time
52,Yamini Sen,1,4,Full-time
53,Keya Sunder,5,2,Full-time
54,Zaitra Chanda,6,4,Full-time
55,Prisha Shenoy,3,5,Visiting
56,Bimala Zachariah,2,5,Full-time
57,Baghyawati Tank,6,3,Visiting
58,Vanya Brar,6,3,Visiting
59,Sudiksha Kade,5,4,Full-time
60,Indrajit Barad,2,2,Full-time
61,Veda Sarraf,3,1,Full-time
62,Oviya Majumdar,5,2,Full-time
63,Vidhi Bhasin,1,1,Full-time
64,Kashvi Thaker,1,1,Visiting
65,Krisha Andra,1,5,Full-time
66,Xiti Agate,3,4,Full-time
67,Dayita Samra,5,2,Visiting
68,Pranit Kanda,2,4,Visiting
69,Xavier Sha,2,1,Full-time
70,Gaurav Dhar,6,4,Visiting
71,Rachana Buch,4,4,Visiting
72,Sai Sundaram,6,1,Full-time
73,Faraj Mukherjee,1,4,Visiting
74,Libni Goel,1,2,Full-time
75,Ishaan Banerjee,2,5,Visiting
76,Vaishnavi Narayan,2,4,Full-time
77,Anamika Rai,3,4,Full-time
78,Yochana Palan,1,4,Full-time
79,Hemal Rama,1,5,Full-time
80,Devika Kamdar,1,2,Full-time
81,Faraj Dash,4,4,Visiting
82,Harinakshi Chanda,2,4,Full-time
83,Alexander Naidu,2,4,Full-time
84,Omkaar Kothari,4,3,Visiting
85,Samaksh Barad,3,4,Visiting
86,Gautami Bajaj,2,2,Visiting
87,Jeremiah Rout,2,1,Full-time
88,Caleb Dasgupta,6,3,Full-time
89,Eshana Pathak,1,5,Visiting
90,Waida Chaudhuri,5,5,Full-time
91,Bhavani Manne,1,5,Full-time
92,Yadavi Bandi,2,1,Full-time
93,Dev Peri,6,2,Visiting
94,Jackson Viswanathan,1,5,Full-time
95,Dakshesh Sridhar,5,5,Full-time
96,Kalpit Mitter,5,1,Visiting
97,Urmi Rajagopalan,6,5,Visiting
98,Utkarsh Ghose,3,2,Visiting
99,Peter Subramanian,2,3,Visiting
100,Gagan Gandhi,2,3,Visiting
101,Wyatt Ravel,3,1,Full-time
102,Janya Sidhu,4,5,Full-time
103,Bahadurjit Mannan,1,5,Full-time
104,Kala Gokhale,5,3,Full-time
105,Leena Tak,3,1,Full-time
106,Tanish Tella,3,3,Full-time
107,Rajata Sinha,4,5,Visiting
108,Gautami Sabharwal,5,5,Full-time
109,Vanya Kashyap,6,5,Visiting
110,Anay Ghosh,6,1,Full-time
111,Ekiya Hayre,3,1,Full-time
112,Chasmum Sabharwal,6,5,Full-time
113,Ladli Ghosh,3,3,Full-time
114,Bhavika Pau,6,3,Full-time
115,Pushti Vaidya,6,3,Visiting
116,Tanvi Master,3,1,Full-time
117,Saumya Chopra,6,4,Visiting
118,Isaac Som,1,1,Visiting
119,Samesh Goel,2,3,Full-time
120,Isaiah Rama,6,4,Visiting
121,Chaaya Sane,5,1,Full-time
122,Vedant D’Alia,1,2,Full-time
123,Raghav Buch,3,5,Full-time
124,Nathaniel Khalsa,4,2,Full-time
125,Rohan Mahal,3,3,Full-time
126,Ishani Ganesh,3,2,Full-time
127,Dalaja Narayan,6,1,Visiting
128,Ira Lalla,5,4,Full-time
129,Gagan Mallick,2,2,Full-time
130,Zilmil Om,4,1,Full-time
131,Orinder Srinivasan,6,3,Visiting
132,George Gandhi,6,2,Visiting
